"employee_number","job_role","department","age","monthly_income","years_at_company","attrition","over_time","raw_score","income_pctile_in_dept","risk_tier","estimated_replacement_cost"
1319,"Sales Executive","Sales",52,8446,8,"Yes","Yes",90,"0.7303370786516854","High","152028"
376,"Manager","Research & Development",47,11849,10,"Yes","Yes",90,"0.8520833333333333","High","213282"
881,"Research Scientist","Research & Development",35,2022,10,"Yes","Yes",80,"0.030208333333333334","High","36396"
1244,"Research Scientist","Research & Development",27,2235,9,"No","Yes",80,"0.08854166666666667","High","40230"
1360,"Manufacturing Director","Research & Development",58,10008,10,"Yes","Yes",80,"0.8010416666666667","High","180144"
81,"Sales Executive","Sales",59,7637,21,"No","No",80,"0.6764044943820224","High","137466"
68,"Sales Executive","Sales",44,5454,4,"No","Yes",75,"0.4449438202247191","High","98172"
1968,"Sales Executive","Sales",53,10448,2,"Yes","Yes",75,"0.8561797752808988","High","188064"
363,"Manager","Sales",46,16872,7,"No","Yes",70,"0.9550561797752809","High","303696"
124,"Healthcare Representative","Research & Development",46,10673,10,"No","Yes",70,"0.8260416666666667","High","192114"
836,"Manufacturing Director","Research & Development",42,4434,9,"No","No",70,"0.5104166666666666","High","79812"
282,"Healthcare Representative","Research & Development",38,6673,1,"Yes","Yes",70,"0.7125","High","120114"
549,"Manager","Research & Development",60,19566,29,"No","No",70,"0.9885416666666667","High","352188"
605,"Manufacturing Director","Research & Development",42,7406,10,"No","Yes",70,"0.7395833333333334","High","133308"
1282,"Manager","Sales",51,19847,29,"No","Yes",70,"1","High","357246"
381,"Manager","Research & Development",35,11996,7,"No","No",70,"0.8583333333333333","High","215928"
1485,"Research Director","Research & Development",34,17007,14,"No","No",70,"0.928125","High","306126"
80,"Research Director","Research & Development",50,18740,27,"No","Yes",70,"0.959375","High","337320"
1167,"Sales Executive","Sales",42,13758,21,"Yes","Yes",70,"0.9213483146067416","High","247644"
248,"Sales Representative","Sales",41,3140,4,"Yes","Yes",65,"0.15730337078651685","High","56520"
382,"Sales Executive","Sales",38,5605,8,"No","Yes",65,"0.4764044943820225","High","100890"
825,"Research Director","Research & Development",58,19246,31,"Yes","Yes",65,"0.9760416666666667","High","346428"
267,"Research Scientist","Research & Development",37,3564,8,"No","Yes",65,"0.38958333333333334","High","64152"
986,"Sales Executive","Sales",40,13194,1,"Yes","Yes",65,"0.903370786516854","High","237492"
454,"Laboratory Technician","Research & Development",29,2119,7,"Yes","Yes",65,"0.0625","High","38142"
1862,"Sales Executive","Sales",32,9907,2,"Yes","Yes",65,"0.8202247191011236","High","178326"
1307,"Manager","Research & Development",39,17123,19,"No","Yes",65,"0.9322916666666666","High","308214"
1649,"Laboratory Technician","Research & Development",40,2166,4,"Yes","Yes",65,"0.07291666666666667","High","38988"
33,"Research Scientist","Research & Development",32,3919,10,"Yes","Yes",65,"0.4354166666666667","High","70542"
21,"Research Scientist","Research & Development",32,3298,6,"No","Yes",65,"0.35104166666666664","High","59364"
141,"Research Director","Research & Development",50,18172,8,"No","Yes",65,"0.9510416666666667","High","327096"
1294,"Manufacturing Director","Research & Development",36,5410,16,"No","Yes",65,"0.6197916666666666","High","97380"
1669,"Sales Executive","Sales",29,4187,10,"No","Yes",65,"0.20449438202247192","High","75366"
